id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,0,0,0,0,0,24.0927,9,0,0,0,0
4,21,-21,8,8,0,0,0,0,24.0927,9,0,0,0,0
5,21,-23,3,4,-23.8753,-3.22871,-23.8753,0,24.0927,9,0,0,0,0
6,21,-23,3,4,23.8753,3.22871,23.8753,0,24.0927,9,0,0,0,0
7,2,-41,16,16,-2.84217e-14,3.55271e-15,-2.84217e-14,0,24.0927,9,0,0,0,0
8,21,-42,17,0,5.06262e-14,-1.31006e-14,5.06262e-14,0,24.0927,9,0,0,0,0
9,21,-44,5,5,-22.4402,-3.60798,-22.4402,0,24.0927,9,0,0,0,0
10,21,-44,6,6,34.3122,0.470415,34.3122,0,24.0927,9,0,0,0,0
11,2,-43,7,0,-11.8719,3.13757,-11.8719,0.33,12.2932,9,0,0,0,0
12,21,-31,35,0,0,0,0,0,11.5314,9,0,0,0,0
13,21,-31,36,36,0,0,0,0,11.5314,9,0,0,0,0
14,21,-33,12,13,-8.61552,7.66461,-8.61552,0,11.5314,9,0,0,0,0
15,21,-33,12,13,8.61552,-7.66461,8.61552,0,11.5314,9,0,0,0,0
16,2,-42,22,22,-1.59872e-14,-1.15463e-14,-1.59872e-14,0,24.0927,9,0,0,0,0
17,21,-41,23,0,1.68754e-14,1.15463e-14,1.68754e-14,0,24.0927,9,0,0,0,0
18,21,-44,9,9,-27.6222,-7.28351,-27.6222,0,24.0927,9,0,0,0,0
19,21,-44,10,10,32.688,-0.68163,32.688,0,24.0927,9,0,0,0,0
20,2,-44,11,11,-11.8857,3.12779,-11.8857,0.33,12.2932,9,0,0,0,0
21,21,-43,17,0,6.81994,4.83735,6.81994,0,8.47472,9,0,0,0,0
22,2,-42,59,59,-1.3145e-13,5.83977e-14,-1.3145e-13,0,24.0927,9,0,0,0,0
23,21,-41,60,0,1.32339e-13,-5.77316e-14,1.32339e-13,0,24.0927,9,0,0,0,0
24,21,-44,18,18,-22.9753,-9.33434,-22.9753,0,24.0927,9,0,0,0,0
25,21,-44,19,19,34.1445,-1.32444,34.1445,0,24.0927,9,0,0,0,0
26,2,-44,20,20,-11.8734,3.12233,-11.8734,0.33,12.2932,9,0,0,0,0
27,21,-44,21,21,8.01052,4.3119,8.01052,0,8.47472,9,0,0,0,0
28,21,-43,23,0,-7.30632,3.22454,-7.30632,0,7.99109,9,0,0,0,0
29,1,-51,14,0,-3.66992,1.76903,-3.66992,0.33,5.59574,9,0,0,0,0
30,-1,-51,14,0,-4.62297,5.60856,-4.62297,0.33,5.59574,9,0,0,0,0
