id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,7,0,0,0,0,28.3784,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,28.3784,9,0,0,0,0
5,21,-23,3,4,14.157,-24.595,14.157,0,28.3784,9,0,0,0,0
6,21,-23,3,4,-14.157,24.595,-14.157,0,28.3784,9,0,0,0,0
7,21,-42,290,290,-3.66374e-15,2.84217e-14,-3.66374e-15,0,28.3784,9,0,0,0,0
8,21,-41,505,505,3.77476e-15,-3.19744e-14,3.77476e-15,0,28.3784,9,0,0,0,0
9,21,-44,5,5,14.9201,-30.7529,14.9201,0,28.3784,9,0,0,0,0
10,21,-44,6,6,-13.6737,20.6948,-13.6737,0,28.3784,9,0,0,0,0
11,21,-43,8,0,-1.24636,10.0582,-1.24636,0,10.3101,9,0,0,0,0
12,21,-51,10,0,-10.1607,21.6847,-10.1607,0,6.83544,9,0,0,0,0
13,21,-51,10,0,-1.71638,-4.69294,-1.71638,0,6.83544,9,0,0,0,0
14,21,-52,9,9,13.1235,-27.0499,13.1235,0,6.83544,9,0,0,0,0
15,21,-31,76,0,0,0,0,0,5.8425,9,0,0,0,0
16,21,-31,77,77,0,0,0,0,5.8425,9,0,0,0,0
17,21,-33,15,16,-1.93993,-5.51103,-1.93993,0,5.8425,9,0,0,0,0
18,21,-33,15,16,1.93993,5.51103,1.93993,0,5.8425,9,0,0,0,0
19,2,-31,56,56,0,0,0,0,5.15132,9,0,0,0,0
20,21,-31,57,0,0,0,0,0,5.15132,9,0,0,0,0
21,2,-33,19,20,4.7622,1.96348,4.7622,0.33,5.15132,9,0,0,0,0
22,21,-33,19,20,-4.7622,-1.96348,-4.7622,0,5.15132,9,0,0,0,0
23,3,-31,31,31,0,0,0,0,4.67131,9,0,0,0,0
24,21,-31,32,0,0,0,0,0,4.67131,9,0,0,0,0
25,3,-33,23,24,1.43575,-4.44321,1.43575,0.5,4.67131,9,0,0,0,0
26,21,-33,23,24,-1.43575,4.44321,-1.43575,0,4.67131,9,0,0,0,0
27,-2,-31,51,51,0,0,0,0,4.63002,9,0,0,0,0
28,21,-31,52,0,0,0,0,0,4.63002,9,0,0,0,0
29,-2,-33,27,28,1.24079,4.456,1.24079,0.33,4.63002,9,0,0,0,0
30,21,-33,27,28,-1.24079,-4.456,-1.24079,0,4.63002,9,0,0,0,0
31,3,-42,81,0,-2.42029e-14,1.62093e-14,-2.42029e-14,0,4.67131,9,0,0,0,0
32,21,-41,82,82,5.68434e-14,-7.10543e-15,5.68434e-14,0,4.67131,9,0,0,0,0
