id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,19,19,0,0,0,0,31.7655,9,0,0,0,0
4,21,-21,20,0,0,0,0,0,31.7655,9,0,0,0,0
5,21,-23,3,4,20.6092,-24.1724,20.6092,0,31.7655,9,0,0,0,0
6,21,-23,3,4,-20.6092,24.1724,-20.6092,0,31.7655,9,0,0,0,0
7,21,-31,36,0,0,0,0,0,8.24719,9,0,0,0,0
8,21,-31,37,37,0,0,0,0,8.24719,9,0,0,0,0
9,21,-33,7,8,-0.813762,-8.20695,-0.813762,0,8.24719,9,0,0,0,0
10,21,-33,7,8,0.813762,8.20695,0.813762,0,8.24719,9,0,0,0,0
11,-1,-31,101,101,0,0,0,0,7.79415,9,0,0,0,0
12,21,-31,102,0,0,0,0,0,7.79415,9,0,0,0,0
13,-1,-33,11,12,-7.16589,3.06077,-7.16589,0.33,7.79415,9,0,0,0,0
14,21,-33,11,12,7.16589,-3.06077,7.16589,0,7.79415,9,0,0,0,0
15,21,-31,24,0,0,0,0,0,7.74771,9,0,0,0,0
16,21,-31,25,25,0,0,0,0,7.74771,9,0,0,0,0
17,21,-33,15,16,4.20172,-6.50942,4.20172,0,7.74771,9,0,0,0,0
18,21,-33,15,16,-4.20172,6.50942,-4.20172,0,7.74771,9,0,0,0,0
19,21,-42,178,0,9.32587e-15,-1.9984e-15,9.32587e-15,0,31.7655,9,0,0,0,0
20,1,-41,179,179,-7.99361e-15,1.88738e-15,-7.99361e-15,0,31.7655,9,0,0,0,0
21,21,-44,5,5,16.0436,-23.1086,16.0436,0,31.7655,9,0,0,0,0
22,21,-44,6,6,-21.4628,24.3713,-21.4628,0,31.7655,9,0,0,0,0
23,1,-43,20,0,5.41922,-1.26267,5.41922,0.33,7.49517,9,0,0,0,0
24,21,-41,50,50,8.88178e-16,3.55271e-15,8.88178e-16,0,7.74771,9,0,0,0,0
25,21,-42,51,0,1.11022e-16,-1.33227e-15,1.11022e-16,0,7.74771,9,0,0,0,0
26,21,-44,17,17,3.2884,-1.11715,3.2884,0,7.74771,9,0,0,0,0
27,21,-44,18,18,-4.25143,6.80292,-4.25143,0,7.74771,9,0,0,0,0
28,21,-43,24,0,0.963025,-5.68577,0.963025,0,5.78703,9,0,0,0,0
29,21,-51,22,0,-3.52946,11.9719,-3.52946,0,5.30998,9,0,0,0,0
30,21,-51,22,0,-17.6772,12.0304,-17.6772,0,5.30998,9,0,0,0,0
31,21,-52,21,21,15.7874,-22.7396,15.7874,0,5.30998,9,0,0,0,0
32,-1,-31,127,127,0,0,0,0,4.74083,9,0,0,0,0
