id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,9,9,0,0,0,0,35.34,9,0,0,0,0
4,1,-21,21,21,0,0,0,0,35.34,9,0,0,0,0
5,21,-23,3,4,-33.1588,-12.2231,-33.1588,0,35.34,9,0,0,0,0
6,1,-23,3,4,33.1588,12.2231,33.1588,0.33,35.34,9,0,0,0,0
7,1,-51,6,0,24.9335,1.07818,24.9335,0.33,7.66588,9,0,0,0,0
8,21,-51,6,0,8.22527,11.1449,8.22527,0,7.66588,9,0,0,0,0
9,21,-53,12,12,0,-1.57772e-30,0,0,0,9,0,0,0,0
10,21,-51,5,0,-24.9315,-13.3366,-24.9315,0,5.20709,9,0,0,0,0
11,21,-51,5,0,-8.22728,1.11348,-8.22728,0,5.20709,9,0,0,0,0
12,21,-53,20,0,0,0,0,0,0,9,0,0,0,0
13,21,-51,8,0,5.1955,-1.72916,5.1955,0,5.00577,9,0,0,0,0
14,21,-51,8,0,13.9556,13.341,13.9556,0,5.00577,9,0,0,0,0
15,1,-52,7,7,14.0077,0.611283,14.0077,0.33,5.00577,9,0,0,0,0
16,21,-31,31,0,0,0,0,0,4.63218,9,0,0,0,0
17,21,-31,32,32,0,0,0,0,4.63218,9,0,0,0,0
18,21,-33,16,17,4.07018,2.2115,4.07018,0,4.63218,9,0,0,0,0
19,21,-33,16,17,-4.07018,-2.2115,-4.07018,0,4.63218,9,0,0,0,0
20,21,-41,66,0,-4.44089e-16,-2.77556e-17,-4.44089e-16,0,0,9,0,0,0,0
21,1,-42,67,67,4.44089e-16,-2.77556e-17,4.44089e-16,0,35.34,9,0,0,0,0
22,21,-44,10,10,-27.483,-13.1249,-27.483,0,5.20709,9,0,0,0,0
23,1,-44,15,15,13.9619,0.615082,13.9619,0.33,5.00577,9,0,0,0,0
24,21,-44,13,13,5.17658,-1.72759,5.17658,0,5.00577,9,0,0,0,0
25,21,-44,11,11,-9.4995,1.21901,-9.4995,0,5.20709,9,0,0,0,0
26,21,-44,14,14,13.8922,13.3462,13.8922,0,5.00577,9,0,0,0,0
27,21,-43,20,0,3.95172,-0.327787,3.95172,0,3.97926,9,0,0,0,0
28,21,-51,27,0,6.02223,-2.62068,6.02223,0,3.92094,9,0,0,0,0
29,21,-51,27,0,-1.81477,2.20755,-1.81477,0,3.92094,9,0,0,0,0
30,21,-52,24,24,4.92083,-1.64224,4.92083,0,3.92094,9,0,0,0,0
31,21,-41,40,40,-6.66134e-16,0,-6.66134e-16,0,4.63218,9,0,0,0,0
32,21,-42,41,0,2.22045e-16,2.22045e-16,2.22045e-16,0,4.63218,9,0,0,0,0
