id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,7,0,0,0,0,21.3174,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,21.3174,9,0,0,0,0
5,21,-23,3,4,-19.1176,-9.43112,-19.1176,0,21.3174,9,0,0,0,0
6,21,-23,3,4,19.1176,9.43112,19.1176,0,21.3174,9,0,0,0,0
7,21,-42,12,0,-1.59872e-14,3.77476e-15,-1.59872e-14,0,21.3174,9,0,0,0,0
8,21,-41,13,13,1.06581e-14,-2.66454e-15,1.06581e-14,0,21.3174,9,0,0,0,0
9,21,-44,5,5,-14.2351,-10.4982,-14.2351,0,21.3174,9,0,0,0,0
10,21,-44,6,6,26.2889,7.86388,26.2889,0,21.3174,9,0,0,0,0
11,21,-43,8,0,-12.0538,2.6343,-12.0538,0,16.0977,9,0,0,0,0
12,21,-41,27,27,5.55112e-17,8.88178e-16,5.55112e-17,0,21.3174,9,0,0,0,0
13,21,-42,28,0,5.55112e-17,-1.77636e-15,5.55112e-17,0,21.3174,9,0,0,0,0
14,21,-44,9,9,-14.3227,-8.31221,-14.3227,0,21.3174,9,0,0,0,0
15,21,-44,10,10,26.1453,11.4458,26.1453,0,21.3174,9,0,0,0,0
16,21,-44,11,11,-12.1042,3.89276,-12.1042,0,16.0977,9,0,0,0,0
17,21,-43,12,0,0.281695,-7.02639,0.281695,0,13.5869,9,0,0,0,0
18,-2,-31,22,22,0,0,0,0,6.07052,9,0,0,0,0
19,21,-31,23,0,0,0,0,0,6.07052,9,0,0,0,0
20,-2,-33,18,19,0.323571,6.05977,0.323571,0.33,6.07052,9,0,0,0,0
21,21,-33,18,19,-0.323571,-6.05977,-0.323571,0,6.07052,9,0,0,0,0
22,-2,-42,49,49,0,1.77636e-15,0,0,6.07052,9,0,0,0,0
23,21,-41,50,0,1.11022e-16,0,1.11022e-16,0,6.07052,9,0,0,0,0
24,-2,-44,20,20,0.724452,1.28864,0.724452,0.33,6.07052,9,0,0,0,0
25,21,-44,21,21,-0.260019,-6.81614,-0.260019,0,6.07052,9,0,0,0,0
26,21,-43,23,0,-0.464432,5.52749,-0.464432,0,5.96185,9,0,0,0,0
27,21,-42,34,0,-1.33227e-15,-1.33227e-15,-1.33227e-15,0,21.3174,9,0,0,0,0
28,21,-41,35,35,2.22045e-15,1.55431e-15,2.22045e-15,0,21.3174,9,0,0,0,0
29,21,-44,14,14,-13.5205,-7.68141,-13.5205,0,21.3174,9,0,0,0,0
30,21,-44,15,15,27.5995,12.5893,27.5995,0,21.3174,9,0,0,0,0
