id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,1,-21,26,26,0,0,0,0,23.2068,9,0,0,0,0
4,21,-21,25,25,0,0,0,0,23.2068,9,0,0,0,0
5,1,-23,3,4,23.1841,1.02527,23.1841,0.33,23.2068,9,0,0,0,0
6,21,-23,3,4,-23.1841,-1.02527,-23.1841,0,23.2068,9,0,0,0,0
7,21,-31,11,0,0,0,0,0,16.7512,9,0,0,0,0
8,21,-31,12,12,0,0,0,0,16.7512,9,0,0,0,0
9,21,-33,7,8,10.6256,12.9499,10.6256,0,16.7512,9,0,0,0,0
10,21,-33,7,8,-10.6256,-12.9499,-10.6256,0,16.7512,9,0,0,0,0
11,21,-41,45,0,0,1.77636e-15,0,0,16.7512,9,0,0,0,0
12,21,-42,46,46,0,-1.77636e-15,0,0,16.7512,9,0,0,0,0
13,21,-44,9,9,10.7524,12.4762,10.7524,0,16.7512,9,0,0,0,0
14,21,-44,10,10,-7.06289,-26.2572,-7.06289,0,16.7512,9,0,0,0,0
15,21,-43,11,0,-3.68951,13.781,-3.68951,0,15.9934,9,0,0,0,0
16,21,-51,14,0,-14.3421,-0.884775,-14.3421,0,13.0374,9,0,0,0,0
17,21,-51,14,0,5.54956,-18.9118,5.54956,0,13.0374,9,0,0,0,0
18,21,-52,15,15,-1.95983,7.32031,-1.95983,0,13.0374,9,0,0,0,0
19,21,-31,32,0,0,0,0,0,8.73499,9,0,0,0,0
20,21,-31,33,33,0,0,0,0,8.73499,9,0,0,0,0
21,21,-33,19,20,-8.65027,1.21363,-8.65027,0,8.73499,9,0,0,0,0
22,21,-33,19,20,8.65027,-1.21363,8.65027,0,8.73499,9,0,0,0,0
23,1,-51,5,0,19.5732,5.74396,19.5732,0.33,7.68965,9,0,0,0,0
24,21,-51,5,0,3.61091,-4.71869,3.61091,0,7.68965,9,0,0,0,0
25,21,-53,27,0,0,0,0,0,0,9,0,0,0,0
26,1,-42,52,52,3.55271e-15,6.66134e-16,3.55271e-15,0,23.2068,9,0,0,0,0
27,21,-41,53,0,-3.9968e-15,-1.11022e-15,-3.9968e-15,0,0,9,0,0,0,0
28,1,-44,23,23,19.5652,5.74216,19.5652,0.33,7.68965,9,0,0,0,0
29,21,-44,6,6,-30.2928,-2.62581,-30.2928,0,23.2068,9,0,0,0,0
30,21,-44,24,24,3.60991,-4.71892,3.60991,0,7.68965,9,0,0,0,0
31,21,-43,27,0,7.11765,1.60257,7.11765,0,7.60991,9,0,0,0,0
32,21,-41,102,102,6.82121e-13,1.13687e-13,6.82121e-13,0,8.73499,9,0,0,0,0
