id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,3,-21,7,7,0,0,0,0,26.2197,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,26.2197,9,0,0,0,0
5,3,-23,3,4,-25.3645,6.63291,-25.3645,0.5,26.2197,9,0,0,0,0
6,21,-23,3,4,25.3645,-6.63291,25.3645,0,26.2197,9,0,0,0,0
7,3,-42,19,0,2.39808e-14,7.54952e-15,2.39808e-14,0,26.2197,9,0,0,0,0
8,21,-41,20,20,-4.9738e-14,-1.42109e-14,-4.9738e-14,0,26.2197,9,0,0,0,0
9,3,-44,5,5,-33.1941,3.6601,-33.1941,0.5,26.2197,9,0,0,0,0
10,21,-44,6,6,19.2971,-8.93658,19.2971,0,26.2197,9,0,0,0,0
11,21,-43,8,0,13.897,5.27648,13.897,0,14.9416,9,0,0,0,0
12,21,-51,11,0,-2.73635,11.8729,-2.73635,0,14.1642,9,0,0,0,0
13,21,-51,11,0,18.6358,-7.52372,18.6358,0,14.1642,9,0,0,0,0
14,21,-52,10,10,17.2947,-8.00924,17.2947,0,14.1642,9,0,0,0,0
15,21,-31,57,57,0,0,0,0,4.63351,9,0,0,0,0
16,21,-31,58,0,0,0,0,0,4.63351,9,0,0,0,0
17,21,-33,15,16,0.285136,-4.62473,0.285136,0,4.63351,9,0,0,0,0
18,21,-33,15,16,-0.285136,4.62473,-0.285136,0,4.63351,9,0,0,0,0
19,3,-41,44,44,2.77556e-17,-4.44089e-16,2.77556e-17,0,26.2197,9,0,0,0,0
20,21,-42,45,0,-1.38778e-17,-4.44089e-16,-1.38778e-17,0,26.2197,9,0,0,0,0
21,3,-44,9,9,-33.2893,1.09424,-33.2893,0.5,26.2197,9,0,0,0,0
22,21,-44,14,14,17.2501,-9.21234,17.2501,0,14.1642,9,0,0,0,0
23,21,-44,12,12,-2.73826,11.8215,-2.73826,0,14.1642,9,0,0,0,0
24,21,-44,13,13,18.6312,-7.64778,18.6312,0,14.1642,9,0,0,0,0
25,21,-43,19,0,0.146342,3.94443,0.146342,0,3.95729,9,0,0,0,0
26,21,-51,22,0,12.2408,-4.03937,12.2408,0,3.33914,9,0,0,0,0
27,21,-51,22,0,5.02259,-4.8139,5.02259,0,3.33914,9,0,0,0,0
28,21,-52,25,25,0.13302,3.58536,0.13302,0,3.33914,9,0,0,0,0
29,21,-51,18,0,1.49706,1.72993,1.49706,0,2.61247,9,0,0,0,0
30,21,-51,18,0,-1.719,1.86972,-1.719,0,2.61247,9,0,0,0,0
31,21,-52,17,17,0.221935,-3.59965,0.221935,0,2.61247,9,0,0,0,0
