id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,7,0,0,0,0,25.3996,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,25.3996,9,0,0,0,0
5,21,-23,3,4,-23.1291,10.4969,-23.1291,0,25.3996,9,0,0,0,0
6,21,-23,3,4,23.1291,-10.4969,23.1291,0,25.3996,9,0,0,0,0
7,21,-42,12,0,-1.77636e-15,8.88178e-16,-1.77636e-15,0,25.3996,9,0,0,0,0
8,2,-41,13,13,-7.10543e-15,8.88178e-16,-7.10543e-15,0,25.3996,9,0,0,0,0
9,21,-44,5,5,-23.6289,10.6033,-23.6289,0,25.3996,9,0,0,0,0
10,21,-44,6,6,10.5893,-7.82684,10.5893,0,25.3996,9,0,0,0,0
11,2,-43,8,0,13.0396,-2.77649,13.0396,0.33,13.3936,9,0,0,0,0
12,21,-41,30,0,3.46945e-18,0,3.46945e-18,0,25.3996,9,0,0,0,0
13,2,-42,31,31,-2.08167e-17,8.88178e-16,-2.08167e-17,0,25.3996,9,0,0,0,0
14,21,-44,9,9,-23.6891,15.0424,-23.6891,0,25.3996,9,0,0,0,0
15,21,-44,10,10,10.5887,-7.7811,10.5887,0,25.3996,9,0,0,0,0
16,2,-44,11,11,13.0393,-2.75056,13.0393,0.33,13.3936,9,0,0,0,0
17,21,-43,12,0,0.0611579,-4.51076,0.0611579,0,9.61436,9,0,0,0,0
18,21,-31,169,0,0,0,0,0,9.49848,9,0,0,0,0
19,21,-31,170,170,0,0,0,0,9.49848,9,0,0,0,0
20,21,-33,18,19,-6.4722,-6.95211,-6.4722,0,9.49848,9,0,0,0,0
21,21,-33,18,19,6.4722,6.95211,6.4722,0,9.49848,9,0,0,0,0
22,21,-31,37,0,0,0,0,0,6.82386,9,0,0,0,0
23,21,-31,38,38,0,0,0,0,6.82386,9,0,0,0,0
24,21,-33,22,23,-4.77395,-4.8759,-4.77395,0,6.82386,9,0,0,0,0
25,21,-33,22,23,4.77395,4.8759,4.77395,0,6.82386,9,0,0,0,0
26,21,-31,114,0,0,0,0,0,5.94398,9,0,0,0,0
27,21,-31,115,115,0,0,0,0,5.94398,9,0,0,0,0
28,21,-33,26,27,2.26937,-5.49371,2.26937,0,5.94398,9,0,0,0,0
29,21,-33,26,27,-2.26937,5.49371,-2.26937,0,5.94398,9,0,0,0,0
30,21,-41,55,0,8.88178e-16,-5.55112e-17,8.88178e-16,0,25.3996,9,0,0,0,0
31,2,-42,56,56,0,0,0,0,25.3996,9,0,0,0,0
32,21,-44,14,14,-18.3455,15.7864,-18.3455,0,25.3996,9,0,0,0,0
