id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,-1,-21,7,7,0,0,0,0,25.6109,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,25.6109,9,0,0,0,0
5,-1,-23,3,4,25.6084,-0.354851,25.6084,0.33,25.6109,9,0,0,0,0
6,21,-23,3,4,-25.6084,0.354851,-25.6084,0,25.6109,9,0,0,0,0
7,-1,-42,19,19,5.68434e-14,-2.93099e-14,5.68434e-14,0,25.6109,9,0,0,0,0
8,21,-41,20,0,-5.77316e-14,2.88658e-14,-5.77316e-14,0,25.6109,9,0,0,0,0
9,-1,-44,5,5,25.5729,-0.336687,25.5729,0.33,25.6109,9,0,0,0,0
10,21,-44,6,6,-35.1588,5.23862,-35.1588,0,25.6109,9,0,0,0,0
11,21,-43,8,0,9.58591,-4.90194,9.58591,0,11.7349,9,0,0,0,0
12,2,-31,26,26,0,0,0,0,8.19565,9,0,0,0,0
13,21,-31,27,0,0,0,0,0,8.19565,9,0,0,0,0
14,2,-33,12,13,-6.76846,4.62107,-6.76846,0.33,8.19565,9,0,0,0,0
15,21,-33,12,13,6.76846,-4.62107,6.76846,0,8.19565,9,0,0,0,0
16,21,-51,11,0,8.43762,-3.771,8.43762,0,5.62189,9,0,0,0,0
17,21,-51,11,0,-2.9115,-0.526027,-2.9115,0,5.62189,9,0,0,0,0
18,21,-52,10,10,-31.099,4.63372,-31.099,0,5.62189,9,0,0,0,0
19,-1,-42,85,85,-1.86517e-14,1.13243e-14,-1.86517e-14,0,25.6109,9,0,0,0,0
20,21,-41,50,50,1.90958e-14,-1.06581e-14,1.90958e-14,0,25.6109,9,0,0,0,0
21,-1,-44,9,9,25.5569,-0.327028,25.5569,0.33,25.6109,9,0,0,0,0
22,21,-44,18,18,-34.9193,6.93087,-34.9193,0,5.62189,9,0,0,0,0
23,21,-44,16,16,8.2527,-3.65981,8.2527,0,5.62189,9,0,0,0,0
24,21,-44,17,17,-3.48676,-0.180117,-3.48676,0,5.62189,9,0,0,0,0
25,21,-43,20,0,4.59647,-2.76391,4.59647,0,5.36775,9,0,0,0,0
26,2,-42,115,115,3.33067e-15,-3.33067e-15,3.33067e-15,0,8.19565,9,0,0,0,0
27,21,-41,116,0,-3.10862e-15,2.66454e-15,-3.10862e-15,0,8.19565,9,0,0,0,0
28,2,-44,14,14,-6.79685,4.64891,-6.79685,0.33,8.19565,9,0,0,0,0
29,21,-44,15,15,4.18118,-2.08385,4.18118,0,8.19565,9,0,0,0,0
30,21,-43,27,0,2.61568,-2.56506,2.61568,0,5.10662,9,0,0,0,0
