id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,-4,-21,7,0,0,0,0,0,21.6606,9,0,0,0,0
4,21,-21,8,8,0,0,0,0,21.6606,9,0,0,0,0
5,-4,-23,3,4,-16.9538,13.4796,-16.9538,1.5,21.6606,9,0,0,0,0
6,21,-23,3,4,16.9538,-13.4796,16.9538,0,21.6606,9,0,0,0,0
7,21,-41,18,0,-1.77636e-15,0,-1.77636e-15,0,21.6606,9,0,0,0,0
8,21,-42,19,19,1.77636e-15,0,1.77636e-15,0,21.6606,9,0,0,0,0
9,-4,-44,5,5,-25.8298,17.8081,-25.8298,1.5,21.6606,9,0,0,0,0
10,21,-44,6,6,16.8537,-13.4308,16.8537,0,21.6606,9,0,0,0,0
11,4,-43,7,0,8.97609,-4.3773,8.97609,1.5,19.1878,9,0,0,0,0
12,-4,-51,9,0,-12.5734,-6.29327,-12.5734,1.5,15.5475,9,0,0,0,0
13,21,-51,9,0,-12.8731,23.7959,-12.8731,0,15.5475,9,0,0,0,0
14,21,-52,10,10,16.4704,-13.1253,16.4704,0,15.5475,9,0,0,0,0
15,21,-51,13,0,-16.632,5.53099,-16.632,0,14.253,9,0,0,0,0
16,21,-51,13,0,4.56547,17.6221,4.56547,0,14.253,9,0,0,0,0
17,21,-52,14,14,15.6638,-12.4826,15.6638,0,14.253,9,0,0,0,0
18,21,-41,26,26,3.55271e-15,7.10543e-15,3.55271e-15,0,21.6606,9,0,0,0,0
19,21,-42,27,0,-3.9968e-15,-7.99361e-15,-3.9968e-15,0,21.6606,9,0,0,0,0
20,-4,-44,12,12,-14.7869,-10.3596,-14.7869,1.5,15.5475,9,0,0,0,0
21,21,-44,17,17,15.6197,-12.5636,15.6197,0,14.253,9,0,0,0,0
22,4,-44,11,11,8.85045,-4.60811,8.85045,1.5,19.1878,9,0,0,0,0
23,21,-44,15,15,-18.1013,2.83176,-18.1013,0,14.253,9,0,0,0,0
24,21,-44,16,16,4.03585,16.6492,4.03585,0,14.253,9,0,0,0,0
25,21,-43,18,0,4.38225,8.05033,4.38225,0,9.16704,9,0,0,0,0
26,21,-42,39,39,-1.22125e-13,2.34257e-14,-1.22125e-13,0,21.6606,9,0,0,0,0
27,21,-41,40,0,1.23013e-13,-2.36478e-14,1.23013e-13,0,21.6606,9,0,0,0,0
28,-4,-44,20,20,-14.8689,-10.3439,-14.8689,1.5,15.5475,9,0,0,0,0
29,21,-44,21,21,10.5821,-11.6007,10.5821,0,14.253,9,0,0,0,0
30,4,-44,22,22,8.40222,-4.52243,8.40222,1.5,19.1878,9,0,0,0,0
