id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,0,0,0,0,0,44.5191,9,0,0,0,0
4,-4,-21,8,8,0,0,0,0,44.5191,9,0,0,0,0
5,21,-23,3,4,31.7662,-31.1742,31.7662,0,44.5191,9,0,0,0,0
6,-4,-23,3,4,-31.7662,31.1742,-31.7662,1.5,44.5191,9,0,0,0,0
7,21,-41,12,12,-1.11022e-16,-1.77636e-15,-1.11022e-16,0,44.5191,9,0,0,0,0
8,-4,-42,13,0,-4.996e-16,7.10543e-15,-4.996e-16,0,44.5191,9,0,0,0,0
9,21,-44,5,5,31.2117,-24.2394,31.2117,0,44.5191,9,0,0,0,0
10,-4,-44,6,6,-32.0768,35.0594,-32.0768,1.5,44.5191,9,0,0,0,0
11,21,-43,7,0,0.865136,-10.8201,0.865136,0,11.0076,9,0,0,0,0
12,21,-42,18,0,-1.11022e-14,-4.4853e-14,-1.11022e-14,0,44.5191,9,0,0,0,0
13,21,-41,19,19,1.24345e-14,4.9738e-14,1.24345e-14,0,44.5191,9,0,0,0,0
14,21,-44,9,9,31.7183,-22.2168,31.7183,0,44.5191,9,0,0,0,0
15,-4,-44,10,10,-30.768,40.2845,-30.768,1.5,44.5191,9,0,0,0,0
16,21,-44,11,11,0.890705,-10.718,0.890705,0,11.0076,9,0,0,0,0
17,4,-43,13,0,-1.84105,-7.34975,-1.84105,1.5,7.61208,9,0,0,0,0
18,21,-41,27,27,0,0,0,0,44.5191,9,0,0,0,0
19,21,-42,149,0,-3.33067e-16,1.33227e-15,-3.33067e-16,0,44.5191,9,0,0,0,0
20,21,-44,14,14,31.3935,-20.3931,31.3935,0,44.5191,9,0,0,0,0
21,-4,-44,15,15,-30.9836,41.4951,-30.9836,1.5,44.5191,9,0,0,0,0
22,21,-44,16,16,0.394349,-7.93086,0.394349,0,11.0076,9,0,0,0,0
23,4,-44,17,17,-1.84199,-7.34446,-1.84199,1.5,7.61208,9,0,0,0,0
24,21,-43,18,0,1.03766,-5.82663,1.03766,0,5.92288,9,0,0,0,0
25,-4,-51,21,0,-32.0077,35.9462,-32.0077,1.5,5.22241,9,0,0,0,0
26,21,-51,21,0,1.02412,5.54893,1.02412,0,5.22241,9,0,0,0,0
27,21,-53,148,148,0,-1.57772e-30,0,0,0,9,0,0,0,0
28,-1,-31,40,40,0,0,0,0,4.8487,9,0,0,0,0
29,21,-31,41,0,0,0,0,0,4.8487,9,0,0,0,0
30,-1,-33,28,29,-4.81774,0.54333,-4.81774,0.33,4.8487,9,0,0,0,0
31,21,-33,28,29,4.81774,-0.54333,4.81774,0,4.8487,9,0,0,0,0
