id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,0,0,0,0,0,23.2905,9,0,0,0,0
4,21,-21,8,8,0,0,0,0,23.2905,9,0,0,0,0
5,21,-23,3,4,5.35401,22.6668,5.35401,0,23.2905,9,0,0,0,0
6,21,-23,3,4,-5.35401,-22.6668,-5.35401,0,23.2905,9,0,0,0,0
7,21,-41,12,0,1.77636e-15,4.44089e-15,1.77636e-15,0,23.2905,9,0,0,0,0
8,21,-42,13,13,-3.55271e-15,8.88178e-16,-3.55271e-15,0,23.2905,9,0,0,0,0
9,21,-44,5,5,-9.0879,32.6258,-9.0879,0,23.2905,9,0,0,0,0
10,21,-44,6,6,-6.47492,-21.8938,-6.47492,0,23.2905,9,0,0,0,0
11,21,-43,7,0,15.5628,-10.732,15.5628,0,21.872,9,0,0,0,0
12,1,-41,18,18,0,-2.27374e-13,0,0,23.2905,9,0,0,0,0
13,21,-42,19,0,-1.11022e-14,3.19744e-14,-1.11022e-14,0,23.2905,9,0,0,0,0
14,21,-44,9,9,-5.9826,24.7675,-5.9826,0,23.2905,9,0,0,0,0
15,21,-44,10,10,-6.2339,-22.5037,-6.2339,0,23.2905,9,0,0,0,0
16,21,-44,11,11,16.8897,-14.0899,16.8897,0,21.872,9,0,0,0,0
17,1,-43,12,0,-4.67323,11.8261,-4.67323,0.33,12.7176,9,0,0,0,0
18,1,-42,72,72,7.37188e-14,1.82077e-14,7.37188e-14,0,23.2905,9,0,0,0,0
19,21,-41,172,0,-8.34888e-14,-1.86517e-14,-8.34888e-14,0,23.2905,9,0,0,0,0
20,21,-44,14,14,-6.69633,24.5985,-6.69633,0,23.2905,9,0,0,0,0
21,21,-44,15,15,-13.9575,-24.3333,-13.9575,0,23.2905,9,0,0,0,0
22,21,-44,16,16,15.645,-14.3847,15.645,0,21.872,9,0,0,0,0
23,1,-44,17,17,-4.67556,11.8255,-4.67556,0.33,12.7176,9,0,0,0,0
24,21,-43,19,0,9.68436,2.29403,9.68436,0,9.9535,9,0,0,0,0
25,21,-31,36,36,0,0,0,0,8.11828,9,0,0,0,0
26,21,-31,37,0,0,0,0,0,8.11828,9,0,0,0,0
27,21,-33,25,26,-6.96395,4.1725,-6.96395,0,8.11828,9,0,0,0,0
28,21,-33,25,26,6.96395,-4.1725,6.96395,0,8.11828,9,0,0,0,0
29,21,-51,24,0,8.28404,4.51528,8.28404,0,6.34446,9,0,0,0,0
30,21,-51,24,0,-0.16388,-4.94826,-0.16388,0,6.34446,9,0,0,0,0
31,21,-52,21,21,-12.3933,-21.6063,-12.3933,0,6.34446,9,0,0,0,0
