id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,7,7,0,0,0,0,20.6012,9,0,0,0,0
4,21,-21,8,0,0,0,0,0,20.6012,9,0,0,0,0
5,21,-23,3,4,19.3311,-7.12176,19.3311,0,20.6012,9,0,0,0,0
6,21,-23,3,4,-19.3311,7.12176,-19.3311,0,20.6012,9,0,0,0,0
7,21,-42,12,0,-2.30926e-14,-2.88658e-15,-2.30926e-14,0,20.6012,9,0,0,0,0
8,-3,-41,13,13,1.42109e-14,4.44089e-15,1.42109e-14,0,20.6012,9,0,0,0,0
9,21,-44,5,5,22.4032,-6.67493,22.4032,0,20.6012,9,0,0,0,0
10,21,-44,6,6,-6.05157,9.05323,-6.05157,0,20.6012,9,0,0,0,0
11,-3,-43,8,0,-16.3516,-2.37829,-16.3516,0.5,16.7629,9,0,0,0,0
12,2,-41,108,108,0,1.77636e-15,0,0,20.6012,9,0,0,0,0
13,-3,-42,109,109,-2.22045e-15,3.55271e-15,-2.22045e-15,0,20.6012,9,0,0,0,0
14,21,-44,9,9,26.7139,-19.9576,26.7139,0,20.6012,9,0,0,0,0
15,21,-44,10,10,-5.83517,8.38643,-5.83517,0,20.6012,9,0,0,0,0
16,-3,-44,11,11,-16.2452,-2.70618,-16.2452,0.5,16.7629,9,0,0,0,0
17,2,-43,12,0,-4.63355,14.2774,-4.63355,0.33,15.8061,9,0,0,0,0
18,21,-51,15,0,-4.25403,-3.56272,-4.25403,0,9.90022,9,0,0,0,0
19,21,-51,15,0,2.46325,8.92764,2.46325,0,9.90022,9,0,0,0,0
20,21,-52,14,14,22.6695,-16.9361,22.6695,0,9.90022,9,0,0,0,0
21,21,-51,20,0,12.1942,-5.47668,12.1942,0,2.79114,9,0,0,0,0
22,21,-51,20,0,10.5792,-11.0828,10.5792,0,2.79114,9,0,0,0,0
23,21,-52,19,19,2.35934,8.55103,2.35934,0,2.79114,9,0,0,0,0
24,2,-51,18,0,-1.23348,2.20981,-1.23348,0.33,2.70449,9,0,0,0,0
25,-2,-51,18,0,-2.75829,-4.822,-2.75829,0.33,2.70449,9,0,0,0,0
26,21,-52,23,23,2.09708,7.60049,2.09708,0,2.70449,9,0,0,0,0
27,21,-51,21,0,14.8555,-12.6397,14.8555,0,2.44897,9,0,0,0,0
28,21,-51,21,0,5.34394,-1.22325,5.34394,0,2.44897,9,0,0,0,0
29,21,-52,22,22,2.57401,-2.69654,2.57401,0,2.44897,9,0,0,0,0
30,21,-31,55,55,0,0,0,0,2.30755,9,0,0,0,0
31,21,-31,56,0,0,0,0,0,2.30755,9,0,0,0,0
