id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,26,26,0,0,0,0,25.6474,9,0,0,0,0
4,21,-21,27,0,0,0,0,0,25.6474,9,0,0,0,0
5,21,-23,3,4,24.0405,8.93547,24.0405,0,25.6474,9,0,0,0,0
6,21,-23,3,4,-24.0405,-8.93547,-24.0405,0,25.6474,9,0,0,0,0
7,-2,-31,87,87,0,0,0,0,8.53086,9,0,0,0,0
8,21,-31,88,0,0,0,0,0,8.53086,9,0,0,0,0
9,-2,-33,7,8,8.5172,-0.465615,8.5172,0.33,8.53086,9,0,0,0,0
10,21,-33,7,8,-8.5172,0.465615,-8.5172,0,8.53086,9,0,0,0,0
11,21,-31,15,0,0,0,0,0,7.84787,9,0,0,0,0
12,21,-31,16,16,0,0,0,0,7.84787,9,0,0,0,0
13,21,-33,11,12,-4.99578,6.05237,-4.99578,0,7.84787,9,0,0,0,0
14,21,-33,11,12,4.99578,-6.05237,4.99578,0,7.84787,9,0,0,0,0
15,21,-41,25,25,1.42109e-14,7.10543e-15,1.42109e-14,0,7.84787,9,0,0,0,0
16,21,-42,32,0,1.59872e-14,-3.77476e-15,1.59872e-14,0,7.84787,9,0,0,0,0
17,21,-44,13,13,-11.4542,7.82589,-11.4542,0,7.84787,9,0,0,0,0
18,21,-44,14,14,4.89054,-6.02347,4.89054,0,7.84787,9,0,0,0,0
19,21,-43,15,0,6.56363,-1.80242,6.56363,0,6.81045,9,0,0,0,0
20,21,-51,19,0,0.934099,-7.04347,0.934099,0,6.60349,9,0,0,0,0
21,21,-51,19,0,5.65477,5.20997,5.65477,0,6.60349,9,0,0,0,0
22,21,-52,18,18,4.8653,-5.99239,4.8653,0,6.60349,9,0,0,0,0
23,21,-51,17,0,-0.955645,4.34094,-0.955645,0,6.39834,9,0,0,0,0
24,21,-51,17,0,-10.4985,3.48495,-10.4985,0,6.39834,9,0,0,0,0
25,21,-53,31,31,2.84217e-14,1.42109e-14,2.84217e-14,0,0,9,0,0,0,0
26,21,-42,96,96,8.88178e-16,4.44089e-16,8.88178e-16,0,25.6474,9,0,0,0,0
27,21,-41,97,0,-8.88178e-16,-4.44089e-16,-8.88178e-16,0,25.6474,9,0,0,0,0
28,21,-44,5,5,19.4354,5.29058,19.4354,0,25.6474,9,0,0,0,0
29,21,-44,6,6,-24.1167,-8.99579,-24.1167,0,25.6474,9,0,0,0,0
30,21,-43,27,0,4.68137,3.70521,4.68137,0,6.1749,9,0,0,0,0
31,21,-42,58,58,1.37668e-14,-5.9952e-15,1.37668e-14,0,0,9,0,0,0,0
